"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Negative feedback from users: Hide all","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Negative feedback from users: Hide"
122142222662654483,61569634500241,"Juan365 Live Stream","Woohoo! May nanalo na naman! 🥳

🎁 Congrats sa ating lucky winners na nakakuha ng 100Credits!
💳 Automatic na papasok yan sa inyong accounts within 24 hours.
📺 Abangan ang next livestream bukas Juankada.🤗 

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",,0,"08/22/2025 08:30",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0Viux5dWcPhx6pLTFtfhr5kS9NbktdALnehkNbdfUEzLj1LnLfiULqXiDafPDB6WVl,0,0,Photos,,,,,Lifetime,3205,1316,239,133,77,29,178,161,17,,,,,,,,
122142175538654483,61569634500241,"Juan365 Live Stream","🔥 Abangan ngayong gabi!
Live tayo 7PM — may kulitan, kwentuhan, at mga sorpresa na ’di mo dapat palampasin! 🎥💬

🎉 Want to win 100 credits?
Simple lang!
✅ Like this page
✅ Follow us
✅ Share this livestream

📸 Don’t forget to screenshot all 3 steps to qualify!
Baka ikaw na ang next winner! 💯🎁

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",,0,"08/22/2025 00:37",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02XkCok5CQ2ZfFt797YwcDcQ9YLADTAZidZLJXKPNqCXWF5pvEnzsv381gcmYdBRfQl,0,0,Photos,,,,,Lifetime,2716,1209,177,100,36,41,93,82,11,,,,,,,,
122142167618654483,61569634500241,"Juan365 Live Stream",,,0,"08/21/2025 21:44",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02Uf6iWTnufKggKbHtP7YL63mNpmV3NB1WeyKaHPRcBu13cgQk4Ba3crraf6nAcZcNl,0,1,Videos,,,,,Lifetime,,507,45,36,9,0,13,13,,,,,,,,,
122142167060654483,61569634500241,"Juan365 Live Stream",,,0,"08/21/2025 21:29",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02d5pDzdsTxSNEkzY1JuHX5U3RYMtUgprVrZSY47RWAeVefP1dnckzMCLGwSQxXbgNl,0,1,Videos,,,,,Lifetime,,455,38,27,11,0,10,10,,,,,,,,,
122142133640654483,61569634500241,"Juan365 Live Stream","Ang ating Lucky Winners ay nakakuha ng 100 JUAN365 Credits each! 🤑💸
💳 Hintayin lang within 24 hours para automatic na pumasok sa inyong Member ID.

👉 Stay tuned sa susunod na Juan365 Livestream — baka ikaw na ang susunod na maswerteng manalo! 🎁

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",,0,"08/21/2025 08:30",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02kX5uFjgNFSAb6wqe6P5v9Gtg9LZLLnFG3V3QqpnjaXQ8eWFMkPmj2gHawufnjWrHl,0,0,Photos,,,,,Lifetime,2102,1013,88,58,22,8,81,77,4,,,,,,,,
122142126410654483,61569634500241,"Juan365 Live Stream","🤫 May sikreto kami, Juankada…
Hindi lang isa kundi DALAWA ang paparating na bagong Juanababe streamer sa Juan365! 💖
Sino kaya sila? 👀
📣 Abangan at makisaya sa kanilang grand debut — SOON! 🎬🎉 

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan","🤫 May sikreto kami, Juankada…
Hindi lang isa kundi DALAWA ang paparating na bagong Juanababe streamer sa Juan365! 💖
Sino kaya sila? 👀
📣 Abangan at makisaya sa kanilang grand debut — SOON! 🎬🎉 

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",21,"08/21/2025 07:00",N/A,https://www.facebook.com/juan365livestream/videos/1120910969575966/,1,0,Videos,,,,,Lifetime,5491,1562,216,152,38,26,84,84,,,,33232.913,8.387,0,0,0,
122142085520654483,61569634500241,"Juan365 Live Stream","🧠Hindi ito tsismis — ito ay history!
Kung feeling mo ikaw ang “history major” ng Juankada, prove it!
Sagot lang sa tanong ni Juan at may chance kang manalo ng 3,000 credits!
💬 Baka ikaw na ang susunod na panalo!

#Juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",,0,"08/21/2025 00:36",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02t612BVbhCqjGw9bvU9SAwTvapxy4VXyck8KwuGfmg9CDucqBXZ6iMdfstK97piGJl,0,1,Photos,,,,,Lifetime,4211,1134,163,80,69,14,263,237,26,,,,,,,,
122140705520654483,61569634500241,"Juan365 Live Stream","Juan365 Live Stream added a new photo.",,0,"08/07/2025 21:42",N/A,https://www.facebook.com/photo.php?fbid=122140705520654483&set=a.122097243494654483&type=3,0,0,Photos,,,,,Lifetime,691,445,50,44,2,4,21,21,,,,,,,,
122140705820654483,61569634500241,"Juan365 Live Stream","Juan365 Live Stream updated their cover photo.",,0,"08/07/2025 21:48",N/A,https://www.facebook.com/photo.php?fbid=122140705820654483&set=a.122097244610654483&type=3,0,0,Photos,,,,,Lifetime,0,0,12,12,0,0,0,,,,,,,,,
122140735190654483,61569634500241,"Juan365 Live Stream","Ready kana ba makilala sila?

Malapit na malapit na see you soon juankada!

 #juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #JuanTambayan",,0,"08/08/2025 04:24",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02Tp4fdTv6pngEs8mfvbqZDd1EC6PxgKAmP4oEBmux6AwYx4qr4wnkSYzjXm5stoWAl,0,0,Photos,,,,,Lifetime,1606,696,54,44,9,1,11,11,,,,,,,,
